build,computer.platform,date,time,subject,blockcode,trialcode,latency,response,expressions.nr_targettrials_AX,expressions.nr_nontargettrials_AY,expressions.nr_nontargettrials_BX,expressions.nr_nontargettrials_BY,expressions.phase1trials,expressions.phase3trials,blocknum,trialnum,values.counttrials,values.trialtype,values.phase,values.cue,values.distractor1,values.distractor2,values.probe,stimulusitem1,correct
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response9,3748,coffee,175,25,25,25,100,150,13,9,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response10,11795,parent,175,25,25,25,100,150,13,10,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response11,13857,curtain,175,25,25,25,100,150,13,11,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response12,13460,nose,175,25,25,25,100,150,13,12,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response13,12446,,175,25,25,25,100,150,13,13,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_pres_instruct,trial5_pres_instruct1,395,57,175,25,25,25,100,150,14,1,0,0,0,0,0,0,0,"Good, that was a good beginning.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_pres_instruct,trial5_pres_instruct2,468,57,175,25,25,25,100,150,14,2,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_pres_instruct,trial5_pres_instruct3,23362,57,175,25,25,25,100,150,14,3,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.   At the end, you will be asked to type in as many words as you can remember including all the words you remembered on the first trial.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response1,5989,bell,175,25,25,25,100,150,16,1,0,0,0,0,0,0,0,recallrect2_empty,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response2,978,house,175,25,25,25,100,150,16,2,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response3,1852,farmer,175,25,25,25,100,150,16,3,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response4,1889,school,175,25,25,25,100,150,16,4,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response5,2018,nose,175,25,25,25,100,150,16,5,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response6,2381,drum,175,25,25,25,100,150,16,6,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response7,1605,curtain,175,25,25,25,100,150,16,7,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response8,1088,coffee,175,25,25,25,100,150,16,8,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response9,8395,garden,175,25,25,25,100,150,16,9,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response10,8851,parent,175,25,25,25,100,150,16,10,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response11,1524,moon,175,25,25,25,100,150,16,11,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response12,12988,hat,175,25,25,25,100,150,16,12,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response13,5528,turkey,175,25,25,25,100,150,16,13,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response14,1385,color,175,25,25,25,100,150,16,14,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial5_recall,trial5_recall_response15,7260,,175,25,25,25,100,150,16,15,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_pres_instruct,trial6_pres_instruct1,2208,57,175,25,25,25,100,150,17,1,0,0,0,0,0,0,0,Now you are going to see a different list of words appear on the screen one by one.,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_pres_instruct,trial6_pres_instruct2,13114,57,175,25,25,25,100,150,17,2,0,0,0,0,0,0,0,"Now you are going to see a different list of words appear on the screen one by one.    Once again, after the words have finished appearing on the screen you will be asked to type in as many of the words as you can remember, in any order that comes to mind.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response1,6166,bird,175,25,25,25,100,150,19,1,0,0,0,0,0,0,0,recallrect2_empty,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response2,6760,shot,175,25,25,25,100,150,19,2,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response3,5128,towel,175,25,25,25,100,150,19,3,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response4,1349,glasses,175,25,25,25,100,150,19,4,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response5,5270,lamb,175,25,25,25,100,150,19,5,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response6,4418,church,175,25,25,25,100,150,19,6,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response7,2826,fish,175,25,25,25,100,150,19,7,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response8,12001,mountain,175,25,25,25,100,150,19,8,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial6_recall,trial6_recall_response9,88,,175,25,25,25,100,150,19,9,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_pres_instruct,trial7_pres_instruct2,2058,57,175,25,25,25,100,150,20,1,0,0,0,0,0,0,0,Remember the first list which you practiced learning multiple times?,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_pres_instruct,trial7_pres_instruct3,1608,57,175,25,25,25,100,150,20,2,0,0,0,0,0,0,0,Remember the first list which you practiced learning multiple times?   Please type in as many of those words as you can remember in any order that comes to mind.,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response1,2367,garden,175,25,25,25,100,150,21,1,0,0,0,0,0,0,0,recallrect2_empty,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response2,1037,coffee,175,25,25,25,100,150,21,2,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response3,1213,curtain,175,25,25,25,100,150,21,3,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response4,2116,river,175,25,25,25,100,150,21,4,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response5,3352,drum,175,25,25,25,100,150,21,5,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response6,887,bell,175,25,25,25,100,150,21,6,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response7,1008,moon,175,25,25,25,100,150,21,7,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response8,1135,parent,175,25,25,25,100,150,21,8,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response9,988,color,175,25,25,25,100,150,21,9,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response10,3896,school,175,25,25,25,100,150,21,10,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response11,1037,house,175,25,25,25,100,150,21,11,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response12,1615,nose,175,25,25,25,100,150,21,12,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response13,3552,parent,175,25,25,25,100,150,21,13,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response14,10567,turkey,175,25,25,25,100,150,21,14,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial7_recall,trial7_recall_response15,5756,,175,25,25,25,100,150,21,15,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct2,1500,0,175,25,25,25,100,150,22,1,0,0,0,0,0,0,0,task2_instruct2.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct3,4618,57,175,25,25,25,100,150,22,2,0,0,0,0,0,0,0,task2_instruct3.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct4,500,0,175,25,25,25,100,150,22,3,0,0,0,0,0,0,0,task2_instruct4.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct5,500,0,175,25,25,25,100,150,22,4,0,0,0,0,0,0,0,task2_instruct5.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct6,500,0,175,25,25,25,100,150,22,5,0,0,0,0,0,0,0,task2_instruct6.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct7,500,0,175,25,25,25,100,150,22,6,0,0,0,0,0,0,0,task2_instruct7.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct8,500,0,175,25,25,25,100,150,22,7,0,0,0,0,0,0,0,task2_instruct8.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct9,500,0,175,25,25,25,100,150,22,8,0,0,0,0,0,0,0,task2_instruct9.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct10,500,0,175,25,25,25,100,150,22,9,0,0,0,0,0,0,0,task2_instruct10.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct11,1381,57,175,25,25,25,100,150,22,10,0,0,0,0,0,0,0,task2_instruct11.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct12,5351,57,175,25,25,25,100,150,22,11,0,0,0,0,0,0,0,task2_instruct12.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct13,9417,57,175,25,25,25,100,150,22,12,0,0,0,0,0,0,0,task2_instruct13.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct14,13229,57,175,25,25,25,100,150,22,13,0,0,0,0,0,0,0,task2_instruct14.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct15,3797,57,175,25,25,25,100,150,22,14,0,0,0,0,0,0,0,task2_instruct15.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct16,5017,57,175,25,25,25,100,150,22,15,0,0,0,0,0,0,0,task2_instruct16.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct17,5231,57,175,25,25,25,100,150,22,16,0,0,0,0,0,0,0,task2_instruct17.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct18,6377,57,175,25,25,25,100,150,22,17,0,0,0,0,0,0,0,task2_instruct18.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,task2_instruct19,7683,57,175,25,25,25,100,150,22,18,0,0,0,0,0,0,0,task2_instruct19.png,0
5.0.6.0,win,12317,20:04:32,42,axcpt,trialselector,0,0,175,25,25,25,100,150,22,20,0,3,0,0,0,0,0,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,BX,1200,0,175,25,25,25,100,150,22,21,1,3,1,U,C,R,X,U,0
5.0.6.0,win,12317,20:04:32,42,axcpt,ISI_probe,0,0,175,25,25,25,100,150,22,22,1,3,1,U,C,R,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,trialselector,0,0,175,25,25,25,100,150,22,23,1,1,1,U,C,R,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,AX,1022,2,175,25,25,25,100,150,22,24,2,1,1,A,J,M,X,A,1
5.0.6.0,win,12317,20:04:32,42,axcpt,ISI_probe,178,0,175,25,25,25,100,150,22,25,2,1,1,A,J,M,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,trialselector,0,0,175,25,25,25,100,150,22,26,2,1,1,A,J,M,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,AX,504,2,175,25,25,25,100,150,22,27,3,1,1,A,Q,C,X,A,1
5.0.6.0,win,12317,20:04:32,42,axcpt,ISI_probe,300,0,175,25,25,25,100,150,22,28,3,1,1,A,Q,C,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,trialselector,0,0,175,25,25,25,100,150,22,29,3,1,1,A,Q,C,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,AX,529,2,175,25,25,25,100,150,22,30,4,1,1,A,O,H,X,A,1
5.0.6.0,win,12317,20:04:32,42,axcpt,ISI_probe,300,0,175,25,25,25,100,150,22,31,4,1,1,A,O,H,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,trialselector,0,0,175,25,25,25,100,150,22,32,4,2,1,A,O,H,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,AY,997,3,175,25,25,25,100,150,22,33,5,2,1,A,C,L,Q,A,1
5.0.6.0,win,12317,20:04:32,42,axcpt,ISI_probe,203,0,175,25,25,25,100,150,22,34,5,2,1,A,C,L,Q,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,trialselector,0,0,175,25,25,25,100,150,22,35,5,1,1,A,C,L,Q,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,AX,546,2,175,25,25,25,100,150,22,36,6,1,1,A,V,D,X,A,1
5.0.6.0,win,12317,20:04:32,42,axcpt,ISI_probe,300,0,175,25,25,25,100,150,22,37,6,1,1,A,V,D,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,trialselector,0,0,175,25,25,25,100,150,22,38,6,4,1,A,V,D,X,0,0
5.0.6.0,win,12317,20:04:32,42,axcpt,BY,889,3,175,25,25,25,100,150,22,39,7,4,1,I,T,S,U,I,1
